2, 6, 3, cat, 22, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0082, 1, 0.6245
2, 6, 3, cat, 23, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0080, 1, 0.5426
2, 6, 3, cat, 24, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0078, 1, 0.6580
2, 6, 3, cat, 25, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0077, 1, 0.5031
2, 6, 3, cat, 26, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0074, 1, 0.5434
2, 6, 3, cat, 27, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1_2back, 0.0073, 1, 0.5144
2, 6, 3, cat, 28, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0071, 1, 0.4327
2, 6, 3, cat, 29, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0070, 1, 0.5038
2, 6, 3, cat, 30, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0068, 1, 0.5040
2, 6, 4, nback, 1, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0057, 1, 0.3451
2, 6, 4, nback, 2, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0055, 1, 0.4641
2, 6, 4, nback, 3, 1, 2@, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0053, 0, 0.4824
2, 6, 4, nback, 4, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0051, 1, 0.6507
2, 6, 4, nback, 5, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0050, 1, 0.5397
2, 6, 4, nback, 6, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0048, 1, 0.4930
2, 6, 4, nback, 7, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0046, 1, 0.4540
2, 6, 4, nback, 8, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0045, 1, 0.4423
2, 6, 4, nback, 9, 1, 2@, 2@, 26, 090.jpg, same, nback_same_pair2_2back, 0.0043, 1, 0.4525
2, 6, 4, nback, 10, 1, 2@, 2@, 39, 081.jpg, different, nback_different_pair1_2back, 0.0041, 1, 0.6277
2, 6, 4, nback, 11, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0039, 1, 0.3506
2, 6, 4, nback, 12, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0038, 1, 0.4088
2, 6, 4, nback, 13, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0036, 1, 0.4420
2, 6, 4, nback, 14, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0034, 1, 0.5183
2, 6, 4, nback, 15, 1, 1!, 2@, 30, 037.jpg, same, nback_same_pair2_2back, 0.0033, 0, 0.4215
2, 6, 4, nback, 16, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0030, 1, 0.4978
2, 6, 4, nback, 17, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0028, 1, 0.4369
2, 6, 4, nback, 18, 1, 1!, 2@, 41, 065.jpg, singleton, nback_singleton_2back, 0.0026, 0, 0.5022
2, 6, 4, nback, 19, 1, 1!, 2@, 27, 030.jpg, same, nback_same_pair1_2back, 0.0109, 0, 0.4749
2, 6, 4, nback, 20, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0107, 1, 0.4221
2, 6, 4, nback, 21, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0106, 1, 0.3372
