1, 1, 3, cat, 19, 1, 2@, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0063, 0, 0.8669
1, 1, 3, cat, 20, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0083, 1, 0.7289
1, 1, 3, cat, 21, 1, 1!, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0103, 0, 0.5989
1, 1, 3, cat, 22, 1, 2@, 1!, 4, 096.jpg, same, cat_same_pair2_2back, 0.0123, 0, 0.5970
1, 1, 3, cat, 23, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0143, 1, 0.4105
1, 1, 3, cat, 24, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0162, 1, 0.7686
1, 1, 3, cat, 25, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0016, 1, 0.6315
1, 1, 3, cat, 26, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0036, 1, 0.9654
1, 1, 3, cat, 27, 1, 1!, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0055, 0, 0.8278
1, 1, 3, cat, 28, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton_2back, 0.0074, 1, 0.7218
1, 1, 3, cat, 29, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0096, 1, 0.6717
1, 1, 3, cat, 30, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0116, 1, 0.6936
1, 1, 4, nback, 1, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0078, 1, 0.5291
1, 1, 4, nback, 2, 1, 2@, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0099, 0, 0.6154
1, 1, 4, nback, 3, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0119, 1, 0.6933
1, 1, 4, nback, 4, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0139, 1, 0.7229
1, 1, 4, nback, 5, 1, 2@, 2@, 36, 004.jpg, different, nback_different_pair2_2back, 0.0159, 1, 0.7129
1, 1, 4, nback, 6, 1, 2@, 2@, 43, 010.jpg, singleton, nback_singleton_2back, 0.0009, 1, 0.9363
1, 1, 4, nback, 7, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0032, 1, 0.7016
1, 1, 4, nback, 8, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0052, 1, 0.6999
1, 1, 4, nback, 9, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0072, 1, 0.7138
1, 1, 4, nback, 10, 1, 2@, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0090, 0, 0.7921
1, 1, 4, nback, 11, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0111, 1, 0.8859
1, 1, 4, nback, 12, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0132, 1, 0.9476
1, 1, 4, nback, 13, 1, 2@, 2@, 34, 042.jpg, different, nback_different_pair2_2back, 0.0152, 1, 0.7539
1, 1, 4, nback, 14, 0, , 1!, 32, 009.jpg, same, nback_same_pair2, 0.0171, 0, -1.0000
1, 1, 4, nback, 15, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0025, 1, 0.6225
1, 1, 4, nback, 16, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0043, 1, 0.6769
1, 1, 4, nback, 17, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0065, 1, 0.5068
1, 1, 4, nback, 18, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0083, 1, 0.6008
1, 1, 4, nback, 19, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0105, 1, 0.7903
1, 1, 4, nback, 20, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0123, 1, 0.7569
1, 1, 4, nback, 21, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0145, 1, 0.6503
1, 1, 4, nback, 22, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0163, 1, 0.5048
1, 1, 4, nback, 23, 1, 1!, 2@, 29, 091.jpg, same, nback_same_pair1_2back, 0.0018, 0, 0.5753
1, 1, 4, nback, 24, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0036, 1, 0.9091
1, 1, 4, nback, 25, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0058, 1, 0.7553
1, 1, 4, nback, 26, 1, 2@, 2@, 46, 051.jpg, singleton, nback_singleton_2back, 0.0078, 1, 0.5850
1, 1, 4, nback, 27, 0, , 1!, 27, 030.jpg, same, nback_same_pair1, 0.0096, 0, -1.0000
1, 1, 4, nback, 28, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0118, 1, 0.8773
1, 1, 4, nback, 29, 1, 2@, 2@, 27, 030.jpg, same, nback_same_pair1_2back, 0.0137, 1, 0.4993
1, 1, 4, nback, 30, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0156, 1, 0.7053
1, 1, 5, cat, 1, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0119, 1, 0.0002
1, 1, 5, cat, 2, 0, , 1!, 2, 035.jpg, same, cat_same_pair2, 0.0140, 0, -1.0000
1, 1, 5, cat, 3, 1, 1!, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0159, 0, 0.6570
1, 1, 5, cat, 4, 1, 1!, 1!, 2, 035.jpg, same, cat_same_pair2_2back, 0.0013, 1, 0.5998
1, 1, 5, cat, 5, 1, 1!, 2@, 11, 046.jpg, different, cat_different_pair1_2back, 0.0034, 0, 0.9577
1, 1, 5, cat, 6, 0, , 1!, 12, 041.jpg, different, cat_different_pair2, 0.0054, 0, -1.0000
1, 1, 5, cat, 7, 1, 1!, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0073, 0, 0.4015
1, 1, 5, cat, 8, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0091, 1, 0.5999
1, 1, 5, cat, 9, 1, 1!, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0112, 0, 0.7978
1, 1, 5, cat, 10, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0131, 1, 0.6119
1, 1, 5, cat, 11, 0, , 2@, 22, 071.jpg, singleton, cat_singleton_2back, 0.0152, 0, -1.0000
1, 1, 5, cat, 12, 1, 2@, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0173, 0, 0.4398
1, 1, 5, cat, 13, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0026, 1, 0.5984
1, 1, 5, cat, 14, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0045, 1, 0.6046
1, 1, 5, cat, 15, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0066, 1, 0.6584
1, 1, 5, cat, 16, 1, 2@, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0085, 0, 0.8005
1, 1, 5, cat, 17, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0107, 1, 0.6542
1, 1, 5, cat, 18, 1, 1!, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0126, 0, 0.5403
1, 1, 5, cat, 19, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton_2back, 0.0145, 1, 0.6101
1, 1, 5, cat, 20, 1, 1!, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0165, 0, 0.7204
1, 1, 5, cat, 21, 1, 1!, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0019, 0, 0.7747
1, 1, 5, cat, 22, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0039, 1, 0.7249
1, 1, 5, cat, 23, 0, , 2@, 8, 043.jpg, same, cat_same_pair2_2back, 0.0059, 0, -1.0000
1, 1, 5, cat, 24, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0078, 1, 0.6811
1, 1, 5, cat, 25, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0099, 1, 0.8149
1, 1, 5, cat, 26, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1_2back, 0.0119, 1, 0.7250
1, 1, 5, cat, 27, 1, 2@, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0138, 0, 0.8832
1, 1, 5, cat, 28, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0158, 1, 0.8568
1, 1, 5, cat, 29, 1, 2@, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0177, 0, 0.7273
1, 1, 5, cat, 30, 0, , 2@, 14, 001.jpg, different, cat_different_pair2, 0.0032, 0, -1.0000
1, 1, 6, nback, 1, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0162, 1, 0.4486
1, 1, 6, nback, 2, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0015, 1, 0.5754
1, 1, 6, nback, 3, 1, 2@, 2@, 44, 089.jpg, singleton, nback_singleton_2back, 0.0033, 1, 0.7655
1, 1, 6, nback, 4, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0055, 1, 0.8435
1, 1, 6, nback, 5, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0074, 1, 0.4815
1, 1, 6, nback, 6, 1, 2@, 2@, 47, 094.jpg, singleton, nback_singleton_2back, 0.0093, 1, 0.6315
1, 1, 6, nback, 7, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0114, 1, 0.5251
1, 1, 6, nback, 8, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0134, 1, 0.6114
1, 1, 6, nback, 9, 1, 2@, 2@, 31, 023.jpg, same, nback_same_pair1_2back, 0.0155, 1, 0.9054
1, 1, 6, nback, 10, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0174, 1, 0.6073
1, 1, 6, nback, 11, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0028, 1, 0.7020
1, 1, 6, nback, 12, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0048, 1, 0.7000
1, 1, 6, nback, 13, 1, 2@, 2@, 39, 065.jpg, different, nback_different_pair1_2back, 0.0066, 1, 0.9064
1, 1, 6, nback, 14, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0087, 1, 0.7042
1, 1, 6, nback, 15, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0108, 1, 0.6457
1, 1, 6, nback, 16, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0127, 1, 0.7002
1, 1, 6, nback, 17, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0148, 1, 0.9056
1, 1, 6, nback, 18, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0168, 1, 0.7442
1, 1, 6, nback, 19, 1, 2@, 2@, 38, 005.jpg, different, nback_different_pair2_2back, 0.0020, 1, 0.6787
1, 1, 6, nback, 20, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0037, 1, 0.6211
1, 1, 6, nback, 21, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0059, 1, 0.9709
1, 1, 6, nback, 22, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0079, 1, 0.8571
1, 1, 6, nback, 23, 1, 1!, 2@, 26, 092.jpg, same, nback_same_pair2_2back, 0.0099, 0, 0.5428
1, 1, 6, nback, 24, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0121, 1, 0.8287
1, 1, 6, nback, 25, 0, , 1!, 27, 030.jpg, same, nback_same_pair1, 0.0140, 0, -1.0000
