2, 1, 3, nback, 22, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0125, 1, 0.8052
2, 1, 3, nback, 23, 1, 2@, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0145, 0, 0.8747
2, 1, 3, nback, 24, 1, 2@, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0165, 0, 0.8810
2, 1, 3, nback, 25, 1, 2@, 2@, 38, 013.jpg, different, nback_different_pair2_2back, 0.0018, 1, 0.9038
2, 1, 3, nback, 26, 1, 2@, 2@, 31, 011.jpg, same, nback_same_pair1_2back, 0.0038, 1, 0.8857
2, 1, 3, nback, 27, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0058, 1, 0.6359
2, 1, 3, nback, 28, 1, 2@, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0078, 0, 0.6658
2, 1, 3, nback, 29, 0, , 1!, 42, 025.jpg, singleton, nback_singleton, 0.0098, 0, -1.0000
2, 1, 3, nback, 30, 1, 2@, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0118, 0, 0.7179
2, 1, 4, cat, 1, 1, 1!, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0081, 0, 0.8093
2, 1, 4, cat, 2, 0, , 2@, 6, 048.jpg, same, cat_same_pair2, 0.0101, 0, -1.0000
2, 1, 4, cat, 3, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0121, 1, 0.6695
2, 1, 4, cat, 4, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0141, 1, 0.6194
2, 1, 4, cat, 5, 1, 1!, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0161, 0, 0.7775
2, 1, 4, cat, 6, 0, , 1!, 10, 076.jpg, different, cat_different_pair2, 0.0013, 0, -1.0000
2, 1, 4, cat, 7, 1, 2@, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0032, 0, 0.5984
2, 1, 4, cat, 8, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2_2back, 0.0054, 1, 0.8198
2, 1, 4, cat, 9, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1_2back, 0.0074, 1, 0.6021
2, 1, 4, cat, 10, 1, 1!, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0094, 0, 0.7358
2, 1, 4, cat, 11, 1, 1!, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0114, 0, 0.5501
2, 1, 4, cat, 12, 1, 1!, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0134, 0, 0.5558
2, 1, 4, cat, 13, 1, 2@, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0154, 0, 0.6581
2, 1, 4, cat, 14, 1, 2@, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0173, 0, 0.4802
2, 1, 4, cat, 15, 1, 2@, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0027, 0, 0.6945
2, 1, 4, cat, 16, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0047, 1, 0.3247
2, 1, 4, cat, 17, 1, 1!, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0067, 0, 0.5070
2, 1, 4, cat, 18, 1, 1!, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0087, 0, 0.6408
2, 1, 4, cat, 19, 1, 1!, 2@, 21, 078.jpg, singleton, cat_singleton_2back, 0.0107, 0, 0.5428
2, 1, 4, cat, 20, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0125, 1, 0.5726
2, 1, 4, cat, 21, 1, 1!, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0147, 0, 0.8909
2, 1, 4, cat, 22, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2_2back, 0.0166, 1, 0.8965
2, 1, 4, cat, 23, 1, 2@, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0018, 0, 0.6395
2, 1, 4, cat, 24, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0038, 1, 0.7413
2, 1, 4, cat, 25, 1, 2@, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0060, 0, 0.7076
2, 1, 4, cat, 26, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1_2back, 0.0080, 1, 0.8092
2, 1, 4, cat, 27, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0100, 1, 0.5673
2, 1, 4, cat, 28, 1, 2@, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0118, 0, 0.6617
2, 1, 4, cat, 29, 1, 2@, 1!, 19, 073.jpg, singleton, cat_singleton_2back, 0.0139, 0, 0.6912
2, 1, 4, cat, 30, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0159, 1, 0.8816
2, 1, 5, nback, 1, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0122, 1, 0.7969
2, 1, 5, nback, 2, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0143, 1, 0.9629
2, 1, 5, nback, 3, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0162, 1, 0.7529
2, 1, 5, nback, 4, 1, 2@, 2@, 34, 038.jpg, different, nback_different_pair2_2back, 0.0016, 1, 0.7436
2, 1, 5, nback, 5, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0034, 1, 0.7341
2, 1, 5, nback, 6, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0054, 1, 0.9962
2, 1, 5, nback, 7, 1, 2@, 2@, 40, 051.jpg, different, nback_different_pair2_2back, 0.0076, 1, 0.5619
2, 1, 5, nback, 8, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0094, 1, 0.4559
2, 1, 5, nback, 9, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0116, 1, 0.7419
2, 1, 5, nback, 10, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0134, 1, 0.6441
2, 1, 5, nback, 11, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0156, 1, 0.7779
2, 1, 5, nback, 12, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0176, 1, 0.7678
2, 1, 5, nback, 13, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0029, 1, 0.8625
2, 1, 5, nback, 14, 1, 2@, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0049, 0, 0.8686
2, 1, 5, nback, 15, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0067, 1, 0.8027
2, 1, 5, nback, 16, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0089, 1, 0.6164
2, 1, 5, nback, 17, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0108, 1, 0.7826
2, 1, 5, nback, 18, 1, 2@, 2@, 27, 030.jpg, same, nback_same_pair1_2back, 0.0128, 1, 0.6286
2, 1, 5, nback, 19, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0148, 1, 0.7622
2, 1, 5, nback, 20, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0168, 1, 0.7286
2, 1, 5, nback, 21, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0022, 1, 0.7669
2, 1, 5, nback, 22, 1, 2@, 2@, 41, 065.jpg, singleton, nback_singleton_2back, 0.0042, 1, 0.5969
2, 1, 5, nback, 23, 1, 1!, 2@, 35, 094.jpg, different, nback_different_pair1_2back, 0.0062, 0, 0.7153
