2, 2, 5, cat, 2, 1, 1!, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0143, 0, 0.6022
2, 2, 5, cat, 3, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0163, 1, 0.7445
2, 2, 5, cat, 4, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0016, 1, 0.5754
2, 2, 5, cat, 5, 1, 2@, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0036, 0, 0.8771
2, 2, 5, cat, 6, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0056, 1, 0.6912
2, 2, 5, cat, 7, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0074, 1, 0.7133
2, 2, 5, cat, 8, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0096, 1, 0.5672
2, 2, 5, cat, 9, 1, 2@, 1!, 20, 042.jpg, singleton, cat_singleton_2back, 0.0116, 0, 0.6452
2, 2, 5, cat, 10, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0136, 1, 0.7554
2, 2, 5, cat, 11, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0156, 1, 0.5852
2, 2, 5, cat, 12, 1, 2@, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0176, 0, 0.7109
2, 2, 5, cat, 13, 1, 1!, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0029, 0, 0.6219
2, 2, 5, cat, 14, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1_2back, 0.0049, 1, 0.5797
2, 2, 5, cat, 15, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0069, 1, 0.5695
2, 2, 5, cat, 16, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0089, 1, 0.8715
2, 2, 5, cat, 17, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0109, 1, 0.4858
2, 2, 5, cat, 18, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton_2back, 0.0129, 1, 0.8040
2, 2, 5, cat, 19, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0149, 1, 0.6098
2, 2, 5, cat, 20, 1, 1!, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0169, 0, 0.7435
2, 2, 5, cat, 21, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2_2back, 0.0022, 1, 0.5106
2, 2, 5, cat, 22, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1_2back, 0.0042, 1, 0.5646
2, 2, 5, cat, 23, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0062, 1, 0.6506
2, 2, 5, cat, 24, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0081, 1, 0.4803
2, 2, 5, cat, 25, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0102, 1, 0.6706
2, 2, 5, cat, 26, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0122, 1, 0.5964
2, 2, 5, cat, 27, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0142, 1, 0.6507
2, 2, 5, cat, 28, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0162, 1, 0.6805
2, 2, 5, cat, 29, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2_2back, 0.0015, 1, 0.6152
2, 2, 5, cat, 30, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0035, 1, 0.7813
2, 2, 6, nback, 1, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0165, 1, 0.8163
2, 2, 6, nback, 2, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0018, 1, 0.5586
2, 2, 6, nback, 3, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0038, 1, 0.5650
2, 2, 6, nback, 4, 1, 2@, 2@, 33, 062.jpg, different, nback_different_pair1_2back, 0.0058, 1, 0.5789
2, 2, 6, nback, 5, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0078, 1, 0.4731
2, 2, 6, nback, 6, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0098, 1, 0.5511
2, 2, 6, nback, 7, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0118, 1, 0.7089
2, 2, 6, nback, 8, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0138, 1, 0.5550
2, 2, 6, nback, 9, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0158, 1, 0.5046
2, 2, 6, nback, 10, 1, 2@, 2@, 32, 031.jpg, same, nback_same_pair2_2back, 0.0178, 1, 0.5190
2, 2, 6, nback, 11, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0031, 1, 0.5253
2, 2, 6, nback, 12, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0051, 1, 0.6436
2, 2, 6, nback, 13, 1, 2@, 2@, 27, 030.jpg, same, nback_same_pair1_2back, 0.0071, 1, 0.5698
2, 2, 6, nback, 14, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0091, 1, 0.5196
2, 2, 6, nback, 15, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0111, 1, 0.5096
2, 2, 6, nback, 16, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0130, 1, 0.5638
2, 2, 6, nback, 17, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0151, 1, 0.6976
2, 2, 6, nback, 18, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0171, 1, 0.6157
2, 2, 6, nback, 19, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0024, 1, 0.6380
2, 2, 6, nback, 20, 1, 2@, 2@, 47, 055.jpg, singleton, nback_singleton_2back, 0.0044, 1, 0.5085
2, 2, 6, nback, 21, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0064, 1, 0.5623
2, 2, 6, nback, 22, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0084, 1, 0.5920
2, 2, 6, nback, 23, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0104, 1, 0.5103
2, 2, 6, nback, 24, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0124, 1, 0.5323
2, 2, 6, nback, 25, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0144, 1, 0.4982
2, 2, 6, nback, 26, 1, 2@, 2@, 40, 051.jpg, different, nback_different_pair2_2back, 0.0164, 1, 0.5203
2, 2, 6, nback, 27, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0017, 1, 0.4709
2, 2, 6, nback, 28, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0037, 1, 0.7089
2, 2, 6, nback, 29, 1, 2@, 2@, 48, 012.jpg, singleton, nback_singleton_2back, 0.0057, 1, 0.5787
2, 2, 6, nback, 30, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0077, 1, 0.4570
2, 2, 7, cat, 1, 1, 2@, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0040, 0, 0.8605
2, 2, 7, cat, 2, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0060, 1, 0.6027
2, 2, 7, cat, 3, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0080, 1, 0.5043
2, 2, 7, cat, 4, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0100, 1, 0.6545
2, 2, 7, cat, 5, 1, 1!, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0120, 0, 0.9406
2, 2, 7, cat, 6, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton_2back, 0.0140, 1, 0.6826
2, 2, 7, cat, 7, 1, 1!, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0160, 0, 0.8807
2, 2, 7, cat, 8, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0011, 1, 0.6712
2, 2, 7, cat, 9, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1_2back, 0.0033, 1, 0.6453
2, 2, 7, cat, 10, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0053, 1, 0.5155
2, 2, 7, cat, 11, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0073, 1, 0.5374
2, 2, 7, cat, 12, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0093, 1, 0.6713
2, 2, 7, cat, 13, 1, 2@, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0111, 0, 0.6775
2, 2, 7, cat, 14, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0133, 1, 0.5311
2, 2, 7, cat, 15, 1, 2@, 1!, 10, 076.jpg, different, cat_different_pair2_2back, 0.0153, 0, 0.6254
2, 2, 7, cat, 16, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton_2back, 0.0171, 1, 0.5596
