2, 3, 3, nback, 11, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0072, 1, 0.5283
2, 3, 3, nback, 12, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0092, 1, 0.5659
2, 3, 3, nback, 13, 1, 1!, 2@, 32, 031.jpg, same, nback_same_pair2_2back, 0.0112, 0, 0.5482
2, 3, 3, nback, 14, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0132, 1, 0.4982
2, 3, 3, nback, 15, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0151, 1, 0.4881
2, 3, 3, nback, 16, 1, 2@, 2@, 43, 044.jpg, singleton, nback_singleton_2back, 0.0170, 1, 0.5661
2, 3, 3, nback, 17, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0025, 1, 0.4050
2, 3, 3, nback, 18, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0045, 1, 0.4669
2, 3, 3, nback, 19, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0065, 1, 0.5369
2, 3, 3, nback, 20, 1, 2@, 2@, 45, 075.jpg, singleton, nback_singleton_2back, 0.0082, 1, 0.4873
2, 3, 3, nback, 21, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0105, 1, 0.4769
2, 3, 3, nback, 22, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0125, 1, 0.5070
2, 3, 3, nback, 23, 1, 2@, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0145, 0, 0.7369
2, 3, 3, nback, 24, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0165, 1, 0.6150
2, 3, 3, nback, 25, 1, 1!, 2@, 34, 038.jpg, different, nback_different_pair2_2back, 0.0018, 0, 0.7733
2, 3, 3, nback, 26, 0, , 1!, 40, 051.jpg, different, nback_different_pair2, 0.0038, 0, -1.0000
