TVtest2, 1, 4, nback, 14, 0, , n, 32, 057.jpg, same, nback_same_pair2, 0.0021, 0, -1.0000
TVtest2, 1, 4, nback, 15, 0, , n, 27, 030.jpg, same, nback_same_pair1, 0.0045, 0, -1.0000
TVtest2, 1, 4, nback, 16, 0, , n, 28, 020.jpg, same, nback_same_pair2, 0.0021, 0, -1.0000
TVtest2, 1, 4, nback, 17, 0, , m, 27, 030.jpg, same, nback_same_pair1_2back, 0.0027, 0, -1.0000
TVtest2, 1, 4, nback, 18, 0, , n, 35, 049.jpg, different, nback_different_pair1, 0.0026, 0, -1.0000
TVtest2, 1, 4, nback, 19, 0, , n, 36, 039.jpg, different, nback_different_pair2, 0.0022, 0, -1.0000
TVtest2, 1, 4, nback, 20, 0, , n, 45, 024.jpg, singleton, nback_singleton, 0.0024, 0, -1.0000
TVtest2, 1, 4, nback, 21, 0, , n, 39, 087.jpg, different, nback_different_pair1, 0.0024, 0, -1.0000
TVtest2, 1, 4, nback, 22, 0, , m, 45, 024.jpg, singleton, nback_singleton_2back, 0.0024, 0, -1.0000
TVtest2, 1, 4, nback, 23, 0, , n, 40, 058.jpg, different, nback_different_pair2, 0.0021, 0, -1.0000
TVtest2, 1, 4, nback, 24, 0, , n, 33, 001.jpg, different, nback_different_pair1, 0.0024, 0, -1.0000
TVtest2, 1, 4, nback, 25, 0, , m, 40, 058.jpg, different, nback_different_pair2_2back, 0.0021, 0, -1.0000
TVtest2, 1, 4, nback, 26, 0, , n, 34, 065.jpg, different, nback_different_pair2, 0.0023, 0, -1.0000
TVtest2, 1, 4, nback, 27, 0, , n, 37, 077.jpg, different, nback_different_pair1, 0.0032, 0, -1.0000
TVtest2, 1, 4, nback, 28, 0, , n, 38, 059.jpg, different, nback_different_pair2, 0.0020, 0, -1.0000
TVtest2, 1, 4, nback, 29, 0, , m, 37, 077.jpg, different, nback_different_pair1_2back, 0.0024, 0, -1.0000
TVtest2, 1, 4, nback, 30, 0, , n, 44, 029.jpg, singleton, nback_singleton, 0.0022, 0, -1.0000
TVtest2, 1, 5, cat, 1, 0, , m, 24, 015.jpg, singleton, cat_singleton, 0.0022, 0, -1.0000
TVtest2, 1, 5, cat, 2, 0, , n, 15, 070.jpg, different, cat_different_pair1, 0.0022, 0, -1.0000
TVtest2, 1, 5, cat, 3, 0, , m, 16, 011.jpg, different, cat_different_pair2, 0.0023, 0, -1.0000
TVtest2, 1, 5, cat, 4, 0, , n, 15, 070.jpg, different, cat_different_pair1_2back, 0.0025, 0, -1.0000
TVtest2, 1, 5, cat, 5, 0, , m, 11, 031.jpg, different, cat_different_pair1, 0.0026, 0, -1.0000
TVtest2, 1, 5, cat, 6, 0, , n, 12, 050.jpg, different, cat_different_pair2, 0.0017, 0, -1.0000
TVtest2, 1, 5, cat, 7, 1, m, m, 11, 031.jpg, different, cat_different_pair1_2back, 0.0020, 1, 0.5988
TVtest2, 1, 5, cat, 8, 0, , n, 3, 025.jpg, same, cat_same_pair1, 0.0021, 0, -1.0000
TVtest2, 1, 5, cat, 9, 0, , n, 4, 036.jpg, same, cat_same_pair2, 0.0020, 0, -1.0000
TVtest2, 1, 5, cat, 10, 0, , n, 19, 082.jpg, singleton, cat_singleton, 0.0002, 0, -1.0000
TVtest2, 1, 5, cat, 11, 0, , n, 18, 035.jpg, singleton, cat_singleton, 0.0008, 0, -1.0000
TVtest2, 1, 5, cat, 12, 0, , n, 19, 082.jpg, singleton, cat_singleton_2back, 0.0014, 0, -1.0000
TVtest2, 1, 5, cat, 13, 0, , n, 18, 035.jpg, singleton, cat_singleton_2back, 0.0023, 0, -1.0000
TVtest2, 1, 5, cat, 14, 0, , n, 1, 095.jpg, same, cat_same_pair1, 0.0014, 0, -1.0000
TVtest2, 1, 5, cat, 15, 0, , n, 2, 003.jpg, same, cat_same_pair2, 0.0006, 0, -1.0000
TVtest2, 1, 5, cat, 16, 0, , m, 9, 056.jpg, different, cat_different_pair1, 0.0013, 0, -1.0000
TVtest2, 1, 5, cat, 17, 0, , n, 10, 089.jpg, different, cat_different_pair2, 0.0022, 0, -1.0000
TVtest2, 1, 5, cat, 18, 0, , n, 13, 037.jpg, different, cat_different_pair1, 0.0022, 0, -1.0000
TVtest2, 1, 5, cat, 19, 0, , m, 14, 004.jpg, different, cat_different_pair2, 0.0018, 0, -1.0000
TVtest2, 1, 5, cat, 20, 0, , m, 23, 047.jpg, singleton, cat_singleton, 0.0008, 0, -1.0000
TVtest2, 1, 5, cat, 21, 0, , m, 14, 004.jpg, different, cat_different_pair2_2back, 0.0019, 0, -1.0000
TVtest2, 1, 5, cat, 22, 0, , m, 22, 013.jpg, singleton, cat_singleton, 0.0021, 0, -1.0000
TVtest2, 1, 5, cat, 23, 0, , m, 21, 017.jpg, singleton, cat_singleton, 0.0025, 0, -1.0000
TVtest2, 1, 5, cat, 24, 0, , n, 17, 061.jpg, singleton, cat_singleton, 0.0021, 0, -1.0000
TVtest2, 1, 5, cat, 25, 0, , m, 7, 068.jpg, same, cat_same_pair1, 0.0079, 0, -1.0000
TVtest2, 1, 5, cat, 26, 0, , m, 8, 042.jpg, same, cat_same_pair2, 0.0005, 0, -1.0000
TVtest2, 1, 5, cat, 27, 0, , m, 5, 022.jpg, same, cat_same_pair1, 0.0020, 0, -1.0000
TVtest2, 1, 5, cat, 28, 0, , m, 8, 042.jpg, same, cat_same_pair2_2back, 0.0026, 0, -1.0000
