2, 5, 3, nback, 11, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0071, 1, 0.4735
2, 5, 3, nback, 12, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0091, 1, 0.6795
2, 5, 3, nback, 13, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0111, 1, 0.5735
2, 5, 3, nback, 14, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0131, 1, 0.5153
2, 5, 3, nback, 15, 1, 2@, 2@, 40, 051.jpg, different, nback_different_pair2_2back, 0.0151, 1, 0.5854
2, 5, 3, nback, 16, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0171, 1, 0.4955
2, 5, 3, nback, 17, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0024, 1, 0.5023
2, 5, 3, nback, 18, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0044, 1, 0.4842
2, 5, 3, nback, 19, 1, 2@, 2@, 47, 055.jpg, singleton, nback_singleton_2back, 0.0064, 1, 0.4582
2, 5, 3, nback, 20, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0084, 1, 0.5043
2, 5, 3, nback, 21, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0104, 1, 0.5023
2, 5, 3, nback, 22, 1, 2@, 2@, 44, 080.jpg, singleton, nback_singleton_2back, 0.0124, 1, 0.4442
2, 5, 3, nback, 23, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0143, 1, 0.4744
2, 5, 3, nback, 24, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0164, 1, 0.4962
2, 5, 3, nback, 25, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0017, 1, 0.5109
2, 5, 3, nback, 26, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0037, 1, 0.5891
2, 5, 3, nback, 27, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0057, 1, 0.5150
2, 5, 3, nback, 28, 1, 2@, 2@, 37, 093.jpg, different, nback_different_pair1_2back, 0.0077, 1, 0.4328
2, 5, 3, nback, 29, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0097, 1, 0.5268
2, 5, 3, nback, 30, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0116, 1, 0.5570
2, 5, 4, cat, 1, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0080, 1, 0.5443
2, 5, 4, cat, 2, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0100, 1, 0.5187
2, 5, 4, cat, 3, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0120, 1, 0.4763
2, 5, 4, cat, 4, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton_2back, 0.0140, 1, 0.6907
2, 5, 4, cat, 5, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0160, 1, 0.5206
2, 5, 4, cat, 6, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0013, 1, 0.4716
2, 5, 4, cat, 7, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0031, 1, 0.4532
2, 5, 4, cat, 8, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0053, 1, 0.5714
2, 5, 4, cat, 9, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1_2back, 0.0073, 1, 0.4654
2, 5, 4, cat, 10, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0093, 1, 0.6150
2, 5, 4, cat, 11, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0113, 1, 0.5734
2, 5, 4, cat, 12, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0133, 1, 0.5554
2, 5, 4, cat, 13, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0153, 1, 0.6332
2, 5, 4, cat, 14, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0173, 1, 0.6072
2, 5, 4, cat, 15, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton_2back, 0.0026, 1, 0.5099
2, 5, 4, cat, 16, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0046, 1, 0.5160
2, 5, 4, cat, 17, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0066, 1, 0.5697
2, 5, 4, cat, 18, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0086, 1, 0.5120
2, 5, 4, cat, 19, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0106, 1, 0.5341
2, 5, 4, cat, 20, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0126, 1, 0.5639
2, 5, 4, cat, 21, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0146, 1, 0.4257
2, 5, 4, cat, 22, 1, 1!, 2@, 14, 006.jpg, different, cat_different_pair2_2back, 0.0166, 0, 0.6081
2, 5, 4, cat, 23, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0019, 1, 0.5504
2, 5, 4, cat, 24, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0038, 1, 0.5965
2, 5, 4, cat, 25, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2_2back, 0.0060, 1, 0.4828
2, 5, 4, cat, 26, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0079, 1, 0.4804
2, 5, 4, cat, 27, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0099, 1, 0.5664
2, 5, 4, cat, 28, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1_2back, 0.0119, 1, 0.4846
2, 5, 4, cat, 29, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0138, 1, 0.4909
2, 5, 4, cat, 30, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0159, 1, 0.4966
2, 5, 5, nback, 1, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0121, 1, 0.3726
2, 5, 5, nback, 2, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0142, 1, 0.3784
2, 5, 5, nback, 3, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0162, 1, 0.7283
2, 5, 5, nback, 4, 1, 2@, 2@, 29, 060.jpg, same, nback_same_pair1_2back, 0.0015, 1, 0.4787
2, 5, 5, nback, 5, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0035, 1, 0.5409
2, 5, 5, nback, 6, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0054, 1, 0.4829
2, 5, 5, nback, 7, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0075, 1, 0.5850
2, 5, 5, nback, 8, 1, 2@, 2@, 34, 038.jpg, different, nback_different_pair2_2back, 0.0095, 1, 0.7911
2, 5, 5, nback, 9, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0115, 1, 0.5172
2, 5, 5, nback, 10, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0135, 1, 0.5152
2, 5, 5, nback, 11, 1, 2@, 2@, 38, 013.jpg, different, nback_different_pair2_2back, 0.0154, 1, 0.5851
2, 5, 5, nback, 12, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0175, 1, 0.4548
2, 5, 5, nback, 13, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0028, 1, 0.6778
2, 5, 5, nback, 14, 1, 2@, 2@, 46, 092.jpg, singleton, nback_singleton_2back, 0.0048, 1, 0.5876
2, 5, 5, nback, 15, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0068, 1, 0.4899
