2, 4, 4, nback, 29, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0141, 1, 0.5569
2, 4, 4, nback, 30, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0161, 1, 0.5869
2, 4, 5, cat, 1, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0124, 1, 0.5903
2, 4, 5, cat, 2, 1, 1!, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0144, 0, 0.7647
2, 4, 5, cat, 3, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0164, 1, 0.5146
2, 4, 5, cat, 4, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0017, 1, 0.5533
2, 4, 5, cat, 5, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0036, 1, 0.5353
2, 4, 5, cat, 6, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0057, 1, 0.5809
2, 4, 5, cat, 7, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton_2back, 0.0077, 1, 0.5312
2, 4, 5, cat, 8, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0097, 1, 0.6089
2, 4, 5, cat, 9, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0117, 1, 0.5513
2, 4, 5, cat, 10, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0137, 1, 0.5253
2, 4, 5, cat, 11, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0157, 1, 0.4432
2, 4, 5, cat, 12, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0177, 1, 0.4969
2, 4, 5, cat, 13, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton_2back, 0.0030, 1, 0.5281
2, 4, 5, cat, 14, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0050, 1, 0.4861
2, 4, 5, cat, 15, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0068, 1, 0.5481
2, 4, 5, cat, 16, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2_2back, 0.0090, 1, 0.5299
2, 4, 5, cat, 17, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0110, 1, 0.5360
2, 4, 5, cat, 18, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0130, 1, 0.6221
2, 4, 5, cat, 19, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0150, 1, 0.5240
2, 4, 5, cat, 20, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0170, 1, 0.5456
2, 4, 5, cat, 21, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0023, 1, 0.6563
2, 4, 5, cat, 22, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2_2back, 0.0043, 1, 0.6467
2, 4, 5, cat, 23, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1_2back, 0.0061, 1, 0.5568
2, 4, 5, cat, 24, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0083, 1, 0.5547
2, 4, 5, cat, 25, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0103, 1, 0.5046
2, 4, 5, cat, 26, 1, 1!, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0123, 0, 0.8303
2, 4, 5, cat, 27, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1_2back, 0.0143, 1, 0.5007
2, 4, 5, cat, 28, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0163, 1, 0.4663
2, 4, 5, cat, 29, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0016, 1, 0.5453
2, 4, 5, cat, 30, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0035, 1, 0.5354
2, 4, 6, nback, 1, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0166, 1, 0.6503
2, 4, 6, nback, 2, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0019, 1, 0.4486
2, 4, 6, nback, 3, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0039, 1, 0.6470
2, 4, 6, nback, 4, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0059, 1, 0.5166
2, 4, 6, nback, 5, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0079, 1, 0.4590
2, 4, 6, nback, 6, 1, 2@, 2@, 45, 075.jpg, singleton, nback_singleton_2back, 0.0099, 1, 0.4169
2, 4, 6, nback, 7, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0119, 1, 0.6550
2, 4, 6, nback, 8, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0139, 1, 0.5810
2, 4, 6, nback, 9, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0159, 1, 0.6746
2, 4, 6, nback, 10, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0179, 1, 0.4890
2, 4, 6, nback, 11, 1, 1!, 2@, 26, 090.jpg, same, nback_same_pair2_2back, 0.0032, 0, 0.5114
2, 4, 6, nback, 12, 1, 2@, 2@, 37, 093.jpg, different, nback_different_pair1_2back, 0.0052, 1, 0.4935
2, 4, 6, nback, 13, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0072, 1, 0.3636
2, 4, 6, nback, 14, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0092, 1, 0.6658
2, 4, 6, nback, 15, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0112, 1, 0.6797
2, 4, 6, nback, 16, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0132, 1, 0.5975
2, 4, 6, nback, 17, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0152, 1, 0.4993
2, 4, 6, nback, 18, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0172, 1, 0.4973
2, 4, 6, nback, 19, 1, 2@, 2@, 29, 060.jpg, same, nback_same_pair1_2back, 0.0025, 1, 0.4880
2, 4, 6, nback, 20, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0045, 1, 0.4703
2, 4, 6, nback, 21, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0065, 1, 0.6522
2, 4, 6, nback, 22, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0085, 1, 0.4983
2, 4, 6, nback, 23, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0105, 1, 0.5282
2, 4, 6, nback, 24, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0125, 1, 0.5660
2, 4, 6, nback, 25, 1, 2@, 2@, 34, 038.jpg, different, nback_different_pair2_2back, 0.0145, 1, 0.4763
2, 4, 6, nback, 26, 1, 2@, 2@, 47, 055.jpg, singleton, nback_singleton_2back, 0.0165, 1, 0.4984
2, 4, 6, nback, 27, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0018, 1, 0.4571
2, 4, 6, nback, 28, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0038, 1, 0.4230
2, 4, 6, nback, 29, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0058, 1, 0.5330
2, 4, 6, nback, 30, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0078, 1, 0.5392
2, 4, 7, cat, 1, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0041, 1, 0.5827
2, 4, 7, cat, 2, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0061, 1, 0.6207
2, 4, 7, cat, 3, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0081, 1, 0.4826
2, 4, 7, cat, 4, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2_2back, 0.0101, 1, 0.5687
2, 4, 7, cat, 5, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1_2back, 0.0121, 1, 0.5028
2, 4, 7, cat, 6, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0141, 1, 0.5727
2, 4, 7, cat, 7, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0161, 1, 0.4744
2, 4, 7, cat, 8, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0014, 1, 0.4893
