1, 4, 3, nback, 17, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0024, 1, 0.6451
1, 4, 3, nback, 18, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0044, 1, 0.7387
1, 4, 3, nback, 19, 1, 2@, 2@, 32, 009.jpg, same, nback_same_pair2_2back, 0.0064, 1, 0.7529
1, 4, 3, nback, 20, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0084, 1, 0.7671
1, 4, 3, nback, 21, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0104, 1, 0.7890
1, 4, 3, nback, 22, 1, 2@, 2@, 28, 074.jpg, same, nback_same_pair2_2back, 0.0124, 1, 0.6829
1, 4, 3, nback, 23, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0144, 1, 0.7927
1, 4, 3, nback, 24, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0164, 1, 0.7349
1, 4, 3, nback, 25, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0017, 1, 0.6938
1, 4, 3, nback, 26, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0037, 1, 0.8037
1, 4, 3, nback, 27, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0057, 1, 0.7857
1, 4, 3, nback, 28, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0077, 1, 0.8637
1, 4, 3, nback, 29, 1, 2@, 2@, 41, 006.jpg, singleton, nback_singleton_2back, 0.0097, 1, 0.8694
1, 4, 3, nback, 30, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0117, 1, 0.7238
1, 4, 4, cat, 1, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0080, 1, 0.6874
1, 4, 4, cat, 2, 1, 1!, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0100, 1, 0.7414
1, 4, 4, cat, 3, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0120, 1, 0.8195
1, 4, 4, cat, 4, 1, 1!, 1!, 2, 035.jpg, same, cat_same_pair2_2back, 0.0139, 1, 0.7935
1, 4, 4, cat, 5, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1_2back, 0.0158, 1, 0.7832
1, 4, 4, cat, 6, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0013, 1, 0.5982
1, 4, 4, cat, 7, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0033, 1, 0.6761
1, 4, 4, cat, 8, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0053, 1, 0.6500
1, 4, 4, cat, 9, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0071, 1, 0.5923
1, 4, 4, cat, 10, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton_2back, 0.0091, 1, 0.5823
1, 4, 4, cat, 11, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0113, 1, 0.6762
1, 4, 4, cat, 12, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0133, 1, 0.6742
1, 4, 4, cat, 13, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0152, 1, 0.7602
1, 4, 4, cat, 14, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2_2back, 0.0171, 1, 0.6862
1, 4, 4, cat, 15, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1_2back, 0.0025, 1, 0.6209
1, 4, 4, cat, 16, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0046, 1, 0.7147
1, 4, 4, cat, 17, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0066, 1, 0.6644
1, 4, 4, cat, 18, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0086, 1, 0.6868
1, 4, 4, cat, 19, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0106, 1, 0.7407
1, 4, 4, cat, 20, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0125, 1, 0.6907
1, 4, 4, cat, 21, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0145, 1, 0.6644
1, 4, 4, cat, 22, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0165, 1, 0.6948
1, 4, 4, cat, 23, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0019, 1, 0.7251
1, 4, 4, cat, 24, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0039, 1, 0.6516
1, 4, 4, cat, 25, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0058, 1, 0.6731
1, 4, 4, cat, 26, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0079, 1, 0.6474
1, 4, 4, cat, 27, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0097, 1, 0.6775
1, 4, 4, cat, 28, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0118, 1, 0.6351
1, 4, 4, cat, 29, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton_2back, 0.0138, 1, 0.5615
1, 4, 4, cat, 30, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0158, 1, 0.7273
1, 4, 5, nback, 1, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0121, 1, 0.5071
1, 4, 5, nback, 2, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0142, 1, 0.2651
1, 4, 5, nback, 3, 1, 2@, 2@, 42, 061.jpg, singleton, nback_singleton_2back, 0.0160, 1, 0.8871
1, 4, 5, nback, 4, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0014, 1, 0.8538
1, 4, 5, nback, 5, 0, , 1!, 47, 094.jpg, singleton, nback_singleton, 0.0034, 0, -1.0000
1, 4, 5, nback, 6, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0054, 1, 0.6178
1, 4, 5, nback, 7, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0074, 1, 0.6479
1, 4, 5, nback, 8, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0093, 1, 0.6536
1, 4, 5, nback, 9, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0113, 1, 0.6758
1, 4, 5, nback, 10, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0134, 1, 0.6418
1, 4, 5, nback, 11, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0153, 1, 0.5438
1, 4, 5, nback, 12, 1, 2@, 2@, 34, 042.jpg, different, nback_different_pair2_2back, 0.0174, 1, 0.6859
1, 4, 5, nback, 13, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0026, 1, 0.5966
1, 4, 5, nback, 14, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0047, 1, 0.5061
1, 4, 5, nback, 15, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0067, 1, 0.6322
1, 4, 5, nback, 16, 1, 2@, 2@, 35, 025.jpg, different, nback_different_pair1_2back, 0.0086, 1, 0.6945
1, 4, 5, nback, 17, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0107, 1, 0.5641
1, 4, 5, nback, 18, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0125, 1, 0.7863
1, 4, 5, nback, 19, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0147, 1, 0.6486
1, 4, 5, nback, 20, 1, 2@, 2@, 38, 005.jpg, different, nback_different_pair2_2back, 0.0167, 1, 0.6226
1, 4, 5, nback, 21, 1, 2@, 2@, 31, 023.jpg, same, nback_same_pair1_2back, 0.0021, 1, 0.7490
1, 4, 5, nback, 22, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0040, 1, 0.7152
1, 4, 5, nback, 23, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0060, 1, 0.4731
1, 4, 5, nback, 24, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0080, 1, 0.4951
1, 4, 5, nback, 25, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0098, 1, 0.7014
1, 4, 5, nback, 26, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0118, 1, 0.6110
1, 4, 5, nback, 27, 1, 2@, 2@, 48, 016.jpg, singleton, nback_singleton_2back, 0.0140, 1, 0.8093
1, 4, 5, nback, 28, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0160, 1, 0.5671
1, 4, 5, nback, 29, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0011, 1, 0.6859
1, 4, 5, nback, 30, 0, , 1!, 26, 092.jpg, same, nback_same_pair2, 0.0033, 0, -1.0000
1, 4, 6, cat, 1, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0163, 1, 0.6470
1, 4, 6, cat, 2, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0016, 1, 0.5575
1, 4, 6, cat, 3, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0034, 1, 0.5797
1, 4, 6, cat, 4, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0056, 1, 0.5776
1, 4, 6, cat, 5, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0074, 1, 0.6393
1, 4, 6, cat, 6, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0093, 1, 0.7017
1, 4, 6, cat, 7, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0116, 1, 0.6512
1, 4, 6, cat, 8, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0135, 1, 0.6256
1, 4, 6, cat, 9, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0155, 1, 0.6235
1, 4, 6, cat, 10, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton_2back, 0.0175, 1, 0.6456
1, 4, 6, cat, 11, 1, 1!, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0029, 0, 0.8278
1, 4, 6, cat, 12, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0049, 1, 0.6419
1, 4, 6, cat, 13, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1_2back, 0.0069, 1, 0.6723
1, 4, 6, cat, 14, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0088, 1, 0.6381
1, 4, 6, cat, 15, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0109, 1, 0.6521
1, 4, 6, cat, 16, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0128, 1, 0.6423
1, 4, 6, cat, 17, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0148, 1, 0.6723
1, 4, 6, cat, 18, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0168, 1, 0.6862
1, 4, 6, cat, 19, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0021, 1, 0.6528
1, 4, 6, cat, 20, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton_2back, 0.0041, 1, 0.6668
1, 4, 6, cat, 21, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0062, 1, 0.6888
1, 4, 6, cat, 22, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0080, 1, 0.6629
1, 4, 6, cat, 23, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2_2back, 0.0101, 1, 0.6289
1, 4, 6, cat, 24, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1_2back, 0.0120, 1, 0.5790
1, 4, 6, cat, 25, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0141, 1, 0.5930
1, 4, 6, cat, 26, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0161, 1, 0.6389
1, 4, 6, cat, 27, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0014, 1, 0.6372
1, 4, 6, cat, 28, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0033, 1, 0.6598
1, 4, 6, cat, 29, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2_2back, 0.0055, 1, 0.5935
1, 4, 6, cat, 30, 1, 1!, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0074, 1, 0.7996
1, 4, 7, nback, 1, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0037, 1, 0.5791
1, 4, 7, nback, 2, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0057, 1, 0.4254
1, 4, 7, nback, 3, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0077, 1, 0.8711
1, 4, 7, nback, 4, 1, 2@, 2@, 25, 072.jpg, same, nback_same_pair1_2back, 0.0097, 1, 0.7409
1, 4, 7, nback, 5, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0116, 1, 0.7075
1, 4, 7, nback, 6, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0136, 1, 0.6334
1, 4, 7, nback, 7, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0156, 1, 0.7591
1, 4, 7, nback, 8, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0177, 1, 0.7569
1, 4, 7, nback, 9, 1, 2@, 2@, 36, 004.jpg, different, nback_different_pair2_2back, 0.0030, 1, 0.6599
1, 4, 7, nback, 10, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0050, 1, 0.7296
1, 4, 7, nback, 11, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0070, 1, 0.6479
1, 4, 7, nback, 12, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0090, 1, 0.6296
1, 4, 7, nback, 13, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0110, 1, 0.7080
1, 4, 7, nback, 14, 1, 2@, 2@, 43, 010.jpg, singleton, nback_singleton_2back, 0.0130, 1, 0.6498
1, 4, 7, nback, 15, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0150, 1, 0.6559
1, 4, 7, nback, 16, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0170, 1, 0.7021
1, 4, 7, nback, 17, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0023, 1, 0.7166
1, 4, 7, nback, 18, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0041, 1, 0.6505
1, 4, 7, nback, 19, 1, 2@, 2@, 27, 030.jpg, same, nback_same_pair1_2back, 0.0063, 1, 0.8566
1, 4, 7, nback, 20, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0083, 1, 0.7586
1, 4, 7, nback, 21, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0101, 1, 0.7568
1, 4, 7, nback, 22, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0121, 1, 0.7787
1, 4, 7, nback, 23, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0143, 1, 0.6807
1, 4, 7, nback, 24, 1, 2@, 2@, 47, 094.jpg, singleton, nback_singleton_2back, 0.0161, 1, 0.6787
1, 4, 7, nback, 25, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0016, 1, 0.7174
1, 4, 7, nback, 26, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0036, 1, 0.6673
1, 4, 7, nback, 27, 1, 2@, 2@, 40, 013.jpg, different, nback_different_pair2_2back, 0.0056, 1, 0.6893
1, 4, 7, nback, 28, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0076, 1, 0.6793
1, 4, 7, nback, 29, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0094, 1, 0.6055
1, 4, 7, nback, 30, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0116, 1, 0.7873
