1, 3, 3, cat, 26, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0035, 1, 0.6736
1, 3, 3, cat, 27, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0056, 1, 0.7595
1, 3, 3, cat, 28, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2_2back, 0.0076, 1, 0.6614
1, 3, 3, cat, 29, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0095, 1, 0.8517
1, 3, 3, cat, 30, 0, , 1!, 20, 080.jpg, singleton, cat_singleton, 0.0114, 0, -1.0000
1, 3, 4, nback, 1, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0078, 1, 0.6613
1, 3, 4, nback, 2, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0099, 1, 0.2592
1, 3, 4, nback, 3, 1, 2@, 2@, 44, 089.jpg, singleton, nback_singleton_2back, 0.0119, 1, 0.7773
1, 3, 4, nback, 4, 1, 2@, 2@, 41, 006.jpg, singleton, nback_singleton_2back, 0.0139, 1, 0.6472
1, 3, 4, nback, 5, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0159, 1, 0.4452
1, 3, 4, nback, 6, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0009, 1, 0.5001
1, 3, 4, nback, 7, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0032, 1, 0.7380
1, 3, 4, nback, 8, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0052, 1, 0.6078
1, 3, 4, nback, 9, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0072, 1, 0.7978
1, 3, 4, nback, 10, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0091, 1, 0.6760
1, 3, 4, nback, 11, 1, 2@, 2@, 27, 030.jpg, same, nback_same_pair1_2back, 0.0112, 1, 0.7460
1, 3, 4, nback, 12, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0131, 1, 0.6878
1, 3, 4, nback, 13, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0152, 1, 0.7576
1, 3, 4, nback, 14, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0171, 1, 0.6840
1, 3, 4, nback, 15, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0024, 1, 0.7867
1, 3, 4, nback, 16, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0045, 1, 0.8004
1, 3, 4, nback, 17, 1, 2@, 2@, 30, 057.jpg, same, nback_same_pair2_2back, 0.0065, 1, 0.7587
1, 3, 4, nback, 18, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0085, 1, 0.8366
1, 3, 4, nback, 19, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0103, 1, 0.7227
1, 3, 4, nback, 20, 1, 2@, 2@, 34, 042.jpg, different, nback_different_pair2_2back, 0.0123, 1, 0.7444
1, 3, 4, nback, 21, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0145, 1, 0.8545
1, 3, 4, nback, 22, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0164, 1, 0.6203
1, 3, 4, nback, 23, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0018, 1, 0.6834
1, 3, 4, nback, 24, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0038, 1, 0.7294
1, 3, 4, nback, 25, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0056, 1, 0.7276
1, 3, 4, nback, 26, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0078, 1, 0.7489
1, 3, 4, nback, 27, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0097, 1, 0.7230
1, 3, 4, nback, 28, 1, 2@, 2@, 25, 072.jpg, same, nback_same_pair1_2back, 0.0118, 1, 0.6011
1, 3, 4, nback, 29, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0137, 1, 0.9274
1, 3, 4, nback, 30, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0157, 1, 0.9013
1, 3, 5, cat, 1, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0119, 1, 0.8813
1, 3, 5, cat, 2, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0139, 1, 0.5910
1, 3, 5, cat, 3, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1_2back, 0.0159, 1, 0.6531
1, 3, 5, cat, 4, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0013, 1, 0.6996
1, 3, 5, cat, 5, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0033, 1, 0.6656
1, 3, 5, cat, 6, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1_2back, 0.0053, 1, 0.7112
1, 3, 5, cat, 7, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0073, 1, 0.7016
1, 3, 5, cat, 8, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0093, 1, 0.6437
1, 3, 5, cat, 9, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton_2back, 0.0113, 1, 0.6977
1, 3, 5, cat, 10, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0132, 1, 0.6477
1, 3, 5, cat, 11, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0153, 1, 0.6936
1, 3, 5, cat, 12, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0173, 1, 0.6677
1, 3, 5, cat, 13, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0026, 1, 0.7223
1, 3, 5, cat, 14, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0046, 1, 0.6640
1, 3, 5, cat, 15, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0066, 1, 0.6463
1, 3, 5, cat, 16, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2_2back, 0.0086, 1, 0.7001
1, 3, 5, cat, 17, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0105, 1, 0.7145
1, 3, 5, cat, 18, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0126, 1, 0.6322
1, 3, 5, cat, 19, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0146, 1, 0.6463
1, 3, 5, cat, 20, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0165, 1, 0.6284
1, 3, 5, cat, 21, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0019, 1, 0.7711
1, 3, 5, cat, 22, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0039, 1, 0.6650
1, 3, 5, cat, 23, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0059, 1, 0.6551
1, 3, 5, cat, 24, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0079, 1, 0.6451
1, 3, 5, cat, 25, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton_2back, 0.0099, 1, 0.6910
1, 3, 5, cat, 26, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0119, 1, 0.6090
1, 3, 5, cat, 27, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0137, 1, 0.7592
1, 3, 5, cat, 28, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2_2back, 0.0159, 1, 0.6691
1, 3, 5, cat, 29, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0179, 1, 0.7306
1, 3, 5, cat, 30, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0032, 0, 0.8896
1, 3, 6, nback, 1, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0162, 1, 0.4928
1, 3, 6, nback, 2, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0015, 1, 0.4513
1, 3, 6, nback, 3, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0035, 1, 0.7693
1, 3, 6, nback, 4, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0055, 1, 0.5835
1, 3, 6, nback, 5, 1, 2@, 2@, 45, 022.jpg, singleton, nback_singleton_2back, 0.0075, 1, 0.5171
1, 3, 6, nback, 6, 1, 2@, 2@, 33, 036.jpg, different, nback_different_pair1_2back, 0.0095, 1, 0.6673
